"","p","PL","TPL","Exp"
"1","0p616","208.137428699172","160.816435853033","165.306739294954"
"2","0p618","242.033611139279","187.342705699552","192.478019023668"
"3","0p62","336.151053586678","261.262880087676","268.062893180573"
"4","0p625","459.927612139355","358.905527096233","367.700748335813"
"5","0p63","668.684892583575","524.311939507624","536.167605780705"
"6","0p64","1172.06041249348","1141.96565399691","943.790513379603"
"7","0p65","1586.41447932946","NaN","1280.31509015097"
"8","0p7","26535.6331965605","25790.2027165371","21856.6727759284"
"9","0p72","51199.1105390333","49435.2687872193","42368.1177160303"
