,p,PL BIC,Exp BIC,TPL BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.616,576044.260,567326.375,563783.978,2.878,0.678,1.209,0.376
2,0.618,2286196.771,2253877.431,2237964.983,2.827,0.651,1.237,0.349
3,0.620,8864372.333,8750793.381,8681396.467,2.793,0.632,1.273,0.327
4,0.625,54868823.767,54353536.804,53778662.481,2.678,0.570,1.341,0.267
5,0.630,112802189.828,112158727.623,110622334.580,2.559,0.506,1.383,0.215
6,0.640,215190566.619,215713556.754,211244849.642,2.367,0.403,1.432,0.143
7,0.650,317761730.892,321620894.925,312244622.146,2.211,0.321,1.456,0.096
8,0.700,723885234.346,836117774.242,718548357.262,1.717,0.069,1.535,0.005
9,0.720,669543091.192,901703731.528,666162873.779,1.654,0.028,1.600,0.000
10,0.740,347984180.794,445450767.493,347656781.369,1.936,0.098,1.922,0.000
