,p,PL,TPL,Exp,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.616,132.3290847,133.0879157,129.1855826,1.816274231,0.380274797,0.900363532,0.168245287
2,0.618,1548.701102,1481.593917,1503.24709,1.795408545,0.364247093,0.858184683,0.167665308
3,0.62,9841.40857,9233.665529,9325.132857,1.790505936,0.377567303,0.6492994,0.220788786
4,0.625,96983.30593,91634.21288,93502.08581,1.761675081,0.337682798,0.79913202,0.163741
5,0.63,171316.0652,162877.9361,167613.8907,1.747693673,0.314645196,0.901860093,0.13157545
6,0.64,254043.2602,243065.0851,253581.2095,1.707765309,0.266522302,1.002687615,0.0913962
7,0.65,296687.6941,285798.6308,303498.5207,1.679931306,0.228867198,1.100143015,0.062698646
8,0.7,233582.3982,232487.8225,299207.6543,1.603962839,0.084729901,1.603396505,0.001589772
9,0.72,155159.0747,154910.318,239413.9633,1.63976759,0.051889715,1.581073602,0.00071812
10,0.74,80860.67179,80869.71309,172716.018,1.779530151,0.029400754,1.778353096,0.00
