,rainfall,PL BIC,Exp BIC,TPL BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,300.000,55840809.355,57984592.485,55791263.636,3.865,1.122,3.528,0.088
2,400.000,272494835.254,289996713.790,272219170.719,3.092,0.709,2.887,0.039
3,500.000,680880126.428,744405659.521,680004184.298,2.615,0.452,2.464,0.020
4,600.000,1231066538.469,1390839902.451,1229092520.900,2.276,0.276,2.157,0.010
5,700.000,1718731072.688,2038119711.544,1716173466.362,2.047,0.162,1.966,0.004
6,770.000,1861802175.715,2320496753.720,1859661980.692,1.944,0.109,1.897,0.001
7,800.000,1848851249.862,2353201887.019,1846888691.568,1.916,0.094,1.900,0.000
8,830.000,1764377747.627,2277415766.878,1762356231.530,1.903,0.086,1.886,0.000
9,850.000,1257141462.692,1619804557.457,1255711532.775,1.904,0.087,1.887,0.000
10,900.000,1380352644.701,1699415309.546,1378383199.054,1.933,0.110,1.872,0.002
